# StellarMass HIMass H2Mass SFR StellarSurfaceDensity MolecularSurfaceDensity MolecularMetallicity
# Msun Msun Msun Msun/yr Msun/kpc^2 Msun/kpc^2 Zsun (h=0.6774, Zsun=0.0134, HI/H2=GD14)
2.2680e+09 0.0000e+00 0.0000e+00 0.0000e+00 8.1357e+07 nan nan
8.5314e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.0950e+09 nan nan
4.4681e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.8629e+08 nan nan
6.5082e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.5276e+08 nan nan
3.5337e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.9982e+08 nan nan
1.4907e+09 1.0393e+08 9.8556e+07 7.8402e-02 3.4201e+07 1.0276e+07 1.4662e+00
6.1114e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.1517e+09 nan nan
2.6763e+09 0.0000e+00 0.0000e+00 0.0000e+00 8.7637e+07 nan nan
3.8726e+09 0.0000e+00 0.0000e+00 0.0000e+00 3.6379e+08 nan nan
4.5737e+09 0.0000e+00 0.0000e+00 0.0000e+00 5.6723e+08 nan nan
1.2334e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.5554e+07 nan nan
3.4940e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.4003e+08 nan nan
1.1396e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.7935e+07 nan nan
2.4874e+09 6.4100e+07 2.1848e+08 2.0558e-01 3.3617e+08 3.0973e+07 2.6072e+00
1.5112e+09 0.0000e+00 0.0000e+00 0.0000e+00 4.8753e+07 nan nan
3.5376e+09 0.0000e+00 0.0000e+00 0.0000e+00 8.3550e+08 nan nan
3.3751e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.8592e+08 nan nan
1.8284e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.4033e+08 nan nan
1.8337e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.3758e+08 nan nan
1.9225e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.9106e+08 nan nan
1.2346e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.9442e+07 nan nan
1.9370e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.1680e+08 nan nan
1.7824e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.3880e+08 nan nan
1.2412e+09 2.2814e+07 5.5230e+07 5.1137e-02 1.1008e+08 2.2357e+07 2.6973e+00
1.0305e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.9226e+07 nan nan
1.1983e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.6328e+08 nan nan
1.0230e+12 1.0745e+10 1.2397e+10 6.5901e+00 8.1395e+08 8.3155e+04 6.4015e-01
4.8047e+11 3.3824e+10 5.6177e+10 8.6748e+01 8.2434e+08 6.2961e+07 1.2671e+00
1.4125e+11 4.5714e+09 2.6078e+09 1.2077e+00 2.7927e+10 1.4450e+06 4.1725e-01
9.7564e+10 7.6161e+09 5.0913e+09 2.8911e+00 1.4848e+09 4.3510e+06 8.8389e-01
5.6335e+10 6.5755e+09 5.4370e+09 2.6763e+00 1.3999e+09 5.1949e+06 1.0354e+00
1.3648e+11 1.7107e+07 3.1388e+07 2.5340e-02 5.7788e+09 4.5860e+03 7.9361e-01
4.7505e+10 0.0000e+00 0.0000e+00 0.0000e+00 4.7600e+09 nan nan
5.6257e+10 5.5153e+00 2.6285e-08 0.0000e+00 4.9036e+09 2.5004e-10 2.1165e+00
5.7603e+10 4.2422e+08 3.4524e+08 1.9084e-01 3.1379e+09 5.9040e+04 7.0873e-01
5.6412e+10 4.3867e+08 5.1851e+08 2.2384e-01 3.6616e+09 2.0185e+05 7.0223e-01
5.6304e+10 4.8456e+08 4.2297e+08 3.3728e-01 3.2919e+09 4.9585e+04 6.9391e-01
6.3657e+10 8.5852e+08 4.0548e+09 6.2128e+00 2.0066e+09 1.0421e+08 3.0600e+00
6.9135e+10 0.0000e+00 0.0000e+00 0.0000e+00 3.1514e+10 nan nan
4.5772e+10 0.0000e+00 0.0000e+00 0.0000e+00 9.1509e+09 nan nan
3.8046e+10 1.3918e+08 6.2369e+07 0.0000e+00 5.8935e+09 3.2674e+03 7.9340e-01
3.5640e+10 0.0000e+00 0.0000e+00 0.0000e+00 2.9020e+09 nan nan
1.3514e+10 3.4880e+08 1.4092e+09 2.7161e+00 4.1008e+08 1.0553e+08 2.4155e+00
3.1771e+10 0.0000e+00 0.0000e+00 0.0000e+00 4.4265e+09 nan nan
3.7245e+09 2.0397e+09 1.1874e+09 1.7813e+00 1.5958e+08 1.2513e+07 8.0950e-01
2.3336e+10 1.3098e+08 1.2011e+09 3.1711e+00 7.3364e+08 1.4760e+08 3.3615e+00
8.1632e+09 4.3684e+08 1.6536e+09 3.4234e+00 2.6917e+08 1.9059e+08 1.9759e+00
9.2387e+09 1.5984e+08 5.9672e+08 7.2527e-01 3.8302e+08 4.4396e+07 3.1263e+00
3.0403e+09 1.3683e+09 1.2758e+09 2.3529e+00 1.3627e+08 7.2459e+07 8.9356e-01
9.9922e+09 6.5719e+09 7.3245e+09 9.6633e+00 9.3787e+07 2.5361e+07 9.1399e-01
1.8566e+10 8.8236e+07 7.0315e+08 1.1064e+00 8.1500e+08 6.5632e+07 3.3557e+00
4.5053e+09 7.5556e+08 8.0727e+08 7.4215e-01 7.7820e+07 3.7642e+07 1.6990e+00
1.4271e+10 1.7851e+07 2.3686e+06 0.0000e+00 2.6431e+09 3.0120e+02 7.0302e-01
1.0231e+10 9.6937e+07 5.9668e+08 8.7998e-01 9.4606e+08 8.0556e+07 2.1409e+00
1.8201e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.9200e+09 nan nan
3.4926e+09 8.1001e+08 1.1756e+09 1.6640e+00 1.3743e+08 3.8870e+07 1.1075e+00
1.6234e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.5624e+09 nan nan
2.7638e+09 1.8410e+09 1.5248e+09 2.7309e+00 6.4652e+07 1.0302e+08 7.8930e-01
8.1861e+09 6.3826e+07 3.9732e+08 5.9728e-01 2.1954e+08 9.2788e+07 2.9246e+00
1.4830e+10 0.0000e+00 0.0000e+00 0.0000e+00 1.3571e+09 nan nan
1.5082e+10 0.0000e+00 0.0000e+00 0.0000e+00 2.9436e+09 nan nan
4.6945e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.5061e+08 nan nan
1.2705e+10 3.1868e+07 1.3260e+08 2.5222e-01 8.0586e+08 7.3772e+07 2.6533e+00
1.1306e+10 0.0000e+00 0.0000e+00 0.0000e+00 2.3813e+09 nan nan
1.2851e+09 5.5424e+08 3.9951e+08 3.0786e-01 2.9842e+07 2.2109e+07 8.4421e-01
7.9451e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.6487e+08 nan nan
5.5988e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.1695e+08 nan nan
2.9246e+09 1.2893e+09 1.1157e+09 1.0547e+00 5.8157e+07 1.7553e+07 1.1953e+00
7.6516e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5763e+08 nan nan
2.1226e+09 3.7675e+07 1.7169e+08 1.5605e-01 4.4659e+07 2.7187e+07 2.4901e+00
7.8330e+09 1.1829e+07 4.7131e+07 5.2180e-02 4.4586e+08 2.8369e+07 3.0467e+00
7.5286e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.3908e+09 nan nan
3.8261e+09 2.6649e+07 9.7858e+07 4.9972e-02 4.1475e+08 1.8144e+07 3.8608e+00
1.9255e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.1450e+07 nan nan
2.3414e+09 0.0000e+00 0.0000e+00 0.0000e+00 1.8526e+08 nan nan
1.1906e+09 9.8232e+07 1.7987e+08 2.7043e-01 4.8993e+07 4.9495e+07 1.0561e+00
5.4101e+09 0.0000e+00 0.0000e+00 0.0000e+00 2.1811e+08 nan nan
